건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
1330.75,0,0,2.26,10100,환경지원센터,,0001,7,20190620,0,,0,"펌프장,배출수처리시설,창고시설",0,0,,0,0,0,0,0,0,0,,0002,,3,18000,창고시설,11590-50,10101,756.0,115903118026,0.0,0,1,신대장,서울특별시 동작구 노들로 756,0,0,0,0,58777,0,서울특별시 동작구 노량진동 1-2번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,1390.29,0,,1.88,1102.29
1971.45,64.8,1,0,10100,,,0002,0,20171121,0,,0,,0,0,,0,0,0,0,0,0,0,,0003,,3,03000,제1종근린생활시설,11590-51,10101,734.0,115903118026,0.0,0,1,신대장,서울특별시 동작구 노들로 734,0,0,0,0,0,0,서울특별시 동작구 노량진동 2-3번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,2732.39,0,,0,2622.31
36397.46,840.4,9,55.46,10100,한국냉장주식회사,,0013,4,20180914,0,,0,판매및영업시설,0,0,,0,0,14381.52,739,0,0,0,,0008,,9,07000,판매시설,11590-741,10101,688.0,115903118026,0.0,0,1,신대장,서울특별시 동작구 노들로 688,4328,372,0,0,65624,0,서울특별시 동작구 노량진동 13-8번지,19941010,,,,,,1,일반,1,총괄표제부,3,11590,,19941020,75148.8,1111,19950616,101.36,66518.4
540.68,0,0,26.04,10100,노량진빗물펌프장,,0013,0,20191001,0,,0,빗물펌프장 및 관사,0,0,,0,0,0,0,0,0,0,,0017,,2,03000,제1종근린생활시설,11590-55,10101,44.0,115904157063,0.0,0,1,신대장,서울특별시 동작구 노량진로17길 44,115,10,0,0,2076,0,서울특별시 동작구 노량진동 13-17번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,1212.64,10,,54.5,1131.33
378.1,0,0,0.8236037,10100,환승통로기계실,,0014,0,20200116,0,,0,철도시설(기계실),0,0,,0,0,0,0,0,0,0,,0037,,2,08000,운수시설,11590-100246793,,0.0,,0.0,0,1,신대장,,0,0,0,0,45908,0,서울특별시 동작구 노량진동 14-37번지,20191125,5100,협의건축물,3190077,건축과,2019,1,일반,1,총괄표제부,5,11590,,20190702,574.6,0,20200109,1.2516337,574.6
0,0,0,0,10100,,,0024,0,20140902,0,,0,,1,0,,0,0,0,0,0,0,0,,0014,,0,01000,단독주택,11590-57,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 노량진동 24-14번지,,,,,,,1,일반,1,총괄표제부,6,11590,,,140.49,0,,0,0
456.7,0,0,0,10100,,,0025,0,20120821,0,,0,주택,13,0,,0,0,0,0,0,0,0,,0000,,13,01000,단독주택,11590-58,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 노량진동 25번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,456.7,0,,0,456.7
85.95,0,0,0,10100,,,0044,0,20120821,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11590-418,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 노량진동 44번지,,,,,,,1,일반,1,총괄표제부,8,11590,,,85.95,0,,0,85.95
181.81,0,0,0,10100,,,0045,0,20120821,0,,0,주택,0,0,,0,0,0,0,0,0,0,,0000,,7,01000,단독주택,11590-60,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 노량진동 45번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,181.81,0,,0,181.81
1659.65,0,0,41.28,10100,,,0046,0,20220127,0,,0,교육연구시설 및 업무시설,0,0,,0,0,0,0,0,0,0,,0006,,3,10000,교육연구시설,11590-39,10101,120.0,115903119011,0.0,0,0,구대장,서울특별시 동작구 노량진로 120,543.5,47,0,0,4020.64,0,서울특별시 동작구 노량진동 46-6번지,19940512,,,,,,1,일반,1,총괄표제부,10,11590,,,11043.67,44,19940829,237.16,9535.44
